School Type,Year,Expenditure
Primary Schools,2012,1946159000
Secondary Schools & Junior Colleges,2012,2680062000
Institute Of Technical Education,2012,351658000
Universities,2012,2536971000
National Institute Of Education,2012,113312000
Polytechnics,2012,1196035000
Others,2012,813115000
Development Expenditure,2012,859599000
Primary Schools,2013,2185580000
Secondary Schools & Junior Colleges,2013,2912565000
Institute Of Technical Education,2013,376896000
Universities,2013,2969921000
National Institute Of Education,2013,99668000
Polytechnics,2013,1297647000
Others,2013,822591000
Development Expenditure,2013,973445000
Primary Schools,2014,2263510000
Secondary Schools & Junior Colleges,2014,3001876000
Institute Of Technical Education,2014,399949000
Universities,2014,2736642000
National Institute Of Education,2014,94941000
Polytechnics,2014,1339298000
Others,2014,876229000
Development Expenditure,2014,886013000
Primary Schools,2015,2457901000
Secondary Schools & Junior Colleges,2015,3106955000
Institute Of Technical Education,2015,432961000
Universities,2015,2897770000
National Institute Of Education,2015,86526000
Polytechnics,2015,1317875000
Others,2015,935753000
Development Expenditure,2015,699215000
Primary Schools,2016,2563211000
Secondary Schools & Junior Colleges,2016,3176978000
Institute Of Technical Education,2016,459931000
Universities,2016,3138310000
National Institute Of Education,2016,80290000
Polytechnics,2016,1350672000
Others,2016,1042802000
Development Expenditure,2016,656660000
Primary Schools,2017,2731770000
Secondary Schools & Junior Colleges,2017,3205954000
Institute Of Technical Education,2017,471088000
Universities,2017,3046680000
National Institute Of Education,2017,74774000
Polytechnics,2017,1305602000
Others,2017,1243670000
Development Expenditure,2017,611092000
Primary Schools,2018,2892452000
Secondary Schools & Junior Colleges,2018,3284458000
Institute Of Technical Education,2018,485354000
Universities,2018,3254804000
National Institute Of Education,2018,109575000
Polytechnics,2018,1274614000
Others,2018,1338743000
Development Expenditure,2018,450000000
